Group G-1:,,,,
==================================================,,,,
,,,,
Team 1,,,,
--------------------------------------------------,,,,
1. 5002, Aarav Singh, CCDS, Male,4.02
2. 2091, Adlan Bin Rahman, EEE, Male,4.2
3. 288, Ajay Verma, CoB (NBS), Male,4.01
4. 4563, Anjali Patel, WKW SCI, Female,4.01
5. 945, Han Li, MAE, Female,4.1
,,,,
Team 2,,,,
--------------------------------------------------,,,,
1. 3838, Aarti Nair, EEE, Female,4.05
2. 4479, Amelia Kim, CCDS, Female,4.11
3. 5708, Ananya Ramesh, SoH, Male,4.2
4. 3989, Anthony Liu, WKW SCI, Male,4.15
5. 1383, Areeba Khan, CoB (NBS), Female,4.19
,,,,
Team 3,,,,
--------------------------------------------------,,,,
1. 2115, Anya Kumar, EEE, Female,4.03
2. 4402, Grace Turner, CCDS, Female,4.08
3. 1417, Darren Lee, CoE, Male,4.12
4. 1075, Felix Yip, CoB (NBS), Male,4.08
5. 1841, Jett Morales, MAE, Male,4.12
,,,,
Team 4,,,,
--------------------------------------------------,,,,
1. 2230, Harlow Wang, CoB (NBS), Female,4.18
2. 5703, Karen Lee, SPMS, Female,4.12
3. 3148, Gabriel Young, EEE, Male,3.88
4. 2353, Karen Wong, SBS, Female,3.95
5. 588, Lucas Walker, MAE, Male,4.06
,,,,
Team 5,,,,
--------------------------------------------------,,,,
1. 4520, Henry Foster, EEE, Male,4.11
2. 235, Ming Zhang, CCDS, Male,4.06
3. 567, Isabella Thompson, CoB (NBS), Female,4.03
4. 2069, Kathy Lau, SSS, Female,4.48
5. 3861, Layla Torres, ASE, Female,4.52
,,,,
Team 6,,,,
--------------------------------------------------,,,,
1. 4576, Jie Zhang, EEE, Male,4.03
2. 4657, Oleg Petrovich, SoH, Male,4
3. 162, Lila Patel, SSS, Female,4.07
4. 4820, Meera Singh, CoE, Female,4.22
5. 1329, Nguyen Van Sam, NIE, Male,3.85
,,,,
Team 7,,,,
--------------------------------------------------,,,,
1. 659, Maria Ivanovna, SSS, Female,4.2
2. 2151, Mei Hong, EEE, Female,4.02
3. 5119, Nhung Vu, ADM, Female,4.04
4. 2818, Oliver Tan, CoB (NBS), Male,4.09
5. 2776, Siddharth Nair, CCEB, Male,4.14
,,,,
Team 8,,,,
--------------------------------------------------,,,,
1. 527, Mohit Desai, EEE, Male,4.06
2. 5477, Vikram Desai, SoH, Male,4.09
3. 809, Nisha Das, CoB (NBS), Female,4.26
4. 1555, Prerna Gupta, MAE, Female,4.04
5. 1271, Priya Singh, SSS, Female,4.17
,,,,
Team 9,,,,
--------------------------------------------------,,,,
1. 2650, Nurul Shafika, SoH, Female,4.09
2. 75, Sakina Ahmed, CCDS, Female,4.03
3. 3628, Omer Ahmed, EEE, Male,4.06
4. 4338, Sana Jain, SPMS, Female,4.22
5. 1645, Zachary Wu, CoE, Male,3.93
,,,,
Team 10,,,,
--------------------------------------------------,,,,
1. 71, Savannah Taylor, SoH, Female,4.19
2. 2417, Truong Minh Chau, SSS, Female,3.88
3. 2326, Vivi Dwi, CoB (NBS), Female,3.95
4. 3930, Xun Wei, EEE, Female,4.18
5. 592, Zara Chang, MSE, Female,4.11
,,,,
Group G-2:,,,,
==================================================,,,,
,,,,
Team 11,,,,
--------------------------------------------------,,,,
1. 1765, Aadhya Sharma, CCDS, Female,4.01
2. 5802, Addison Chen, CEE, Female,4.03
3. 321, Anya Chua, SoH, Female,4.01
4. 2788, Carter Moore, MSE, Male,4.17
5. 3026, David Ho, NIE, Male,4
,,,,
Team 12,,,,
--------------------------------------------------,,,,
1. 764, Ahmad Ramlie, CEE, Male,4.02
2. 3501, Derek Adams, SoH, Male,4.05
3. 460, Brianna Johnson, CCDS, Female,4.1
4. 5750, Chunhua, WKW SCI, Female,3.9
5. 4851, Fatima Rani, SSS, Female,4.09
,,,,
Team 13,,,,
--------------------------------------------------,,,,
1. 4006, Ali Abubakar, CEE, Male,4.12
2. 3527, Eli Walker, WKW SCI, Male,4.19
3. 5996, Fatima Yusof, MAE, Female,4.19
4. 3926, Gisela Tan, EEE, Female,4.19
5. 4738, Hanafi Bin Mohd, SSS, Female,4.05
,,,,
Team 14,,,,
--------------------------------------------------,,,,
1. 3523, Haroon Ali, WKW SCI, Male,3.95
2. 586, Isaiah Turner, EEE, Male,4.18
3. 3533, Izzat Bin Ibrahim, CEE, Male,4.15
4. 229, Lana Turner, CoB (NBS), Female,4.17
